url,title,date,publisher,content
http://xinghuo.njit.edu.cn/info/1011/13555.htm,百年颂歌！我校举办红色经典音乐会礼赞伟大的中国共产党,2021-06-07,党委宣传部,“唱支山歌给党听，我把党来比母亲；母亲只生了我的身，党的光辉照我心……”6月7日下午，一首深情委婉的旋律在我校科创园天印会议中心响起，拉开了由江苏省声乐学会南京分支机构联合我校举办的《百年颂歌》——红色经典音乐会的序幕。校党委书记史国君，党委副书记濮励杰，党委常委、副院长张仰飞、郑锋与500余名党员师生一起，在经典红歌中回顾党的风雨征程，抒发对党的深厚感情。
http://xinghuo.njit.edu.cn/info/1011/13554.htm,硅砂资源利用国家重点实验室江苏研究中心正式落户我校,2021-06-07,科技与产业处,6月7日上午，由我校与校友企业合作共建的硅砂资源利用国家重点实验室江苏研究中心、以及南京仁创升益科技有限公司正式揭牌，同时正式启用的还有我校校友经济发展研究中心。
http://xinghuo.njit.edu.cn/info/1011/13543.htm,如何走好双创之路？行业大咖面对面传授“秘籍”——“智服·工程”创业分享会在我校举办,2021-06-06,党委组织部、统战部 机械工程学院,6月5日下午，由江苏省党外知识分子联合会和我校共同举办的“智服·工程”创业分享会在图书馆报告厅举办。4位来自不同行业的大咖与我校200多名师生分享“创新创业那些事儿”、畅谈新时代青年人的使命担当。江苏省委统战部常务副部长李国华、我校党委书记史国君出席活动并讲话。出席分享会的还有江苏省委统战部一级巡视员方未艾，我校党委常委、纪委书记赵立法等。
http://xinghuo.njit.edu.cn/info/1011/13544.htm,我校济宁校友联谊会成立,2021-06-06,校友会办公室,6月5日下午，我校济宁校友联谊会成立大会在济宁举行。校党委常委、副院长张仰飞应邀出席成立大会并致辞。成立大会由筹备组成员、电算7901班校友杨昌平主持。
http://xinghuo.njit.edu.cn/info/1011/13527.htm,校党委第五轮巡察组向被巡察党组织反馈巡察情况,2021-06-03,党委巡察办,根据学校党委巡察工作统一部署，6月2日，学校党委第五轮巡察组分别向机械工程学院党委、艺术与设计学院党总支、数理部党总支、材料科学与工程学院党委、电力工程学院党委、研究生党总支反馈巡察情况。校党委常委、副院长、第一巡察组组长杨征宇，校党委常委、副院长、第二巡察组组长郑锋分别向被巡察党组织通报巡察情况。校党委副书记、校巡察工作领导小组副组长濮励杰，校党委常委、纪委书记（监察专员）、校巡察工作领导小组副组长赵立法分别出席相关巡察反馈会议，传达学校党委要求，部署推动巡察整改工作。各被巡察党组织主要负责人主持会议并作表态发言。
http://xinghuo.njit.edu.cn/info/1011/13524.htm,音乐中的党史教育：我校举行“红旗颂”庆祝中国共产党成立100周年交响音乐会,2021-06-03,校团委,以音乐感悟党史，用歌声铭记初心。6月2日晚，由江苏省教育厅、财政厅主办的2021年高雅艺术进校园拓展项目——“红旗颂”庆祝中国共产党成立100周年交响音乐会在我校科创园天印会议中心举行。校党委常委、副院长张仰飞，中国药科大学团委书记张杨彬，我校部分职能部门负责人、教师代表与400余名学生共同观看了演出。
http://xinghuo.njit.edu.cn/info/1011/13516.htm,教育部工程教育专业认证专家组对我校材料科学与工程专业进行现场考查,2021-06-01,材料科学与工程学院 教务处,5月27日至29日，受中国工程教育专业认证协会和教育部高等教育评估中心委派，以郑州大学汤克勇教授为组长，西南交通大学戴文泽教授、江苏沙钢集团有限公司胡显军高工和专家组秘书、福建工程学院李巍组成的专家组来到我校，对材料科学与工程专业进行了为期三天的工程教育专业认证现场考查。此次接受工程教育专业认证现场考查，是材料科学与工程专业获批国家级一流本科专业建设点后，在专业建设方面取得的又一重大进展。
http://xinghuo.njit.edu.cn/info/1011/13510.htm,中科院上海巴斯德研究所唐宏院长一行到我校调研,2021-06-01,校长办公室,5月31日上午，中科院上海巴斯德研究所唐宏院长、苏美达股份有限公司总经理金永传等一行到我校调研，院长史金飞教授热情接待了来宾。
http://xinghuo.njit.edu.cn/info/1011/13509.htm,我校召开创建全国文明校园专题动员会议,2021-05-31,党委宣传部,5月31日下午，我校召开创建全国文明校园专题动员会议，对我校文明校园创建工作进行再动员、再部署、再落实，全体在宁校领导出席动员会，党委书记史国君作动员讲话，党委副书记、院长史金飞主持会议。
http://xinghuo.njit.edu.cn/info/1011/13511.htm,张仰飞副院长一行赴南京高淳供电公司调研,2021-05-31,电力工程学院,为助力“双碳”目标和乡村振兴战略的落地实践，加快一流应用型人才培养，5月27日，校党委常委、副院长张仰飞携电力工程学院相关负责人深入南京高淳供电公司调研学习。公司党委书记李晨，副总经理孙雷雷、周俊及相关部门负责人接待了调研团。
